Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
adenine,CP00000181,XDH,9606,inhibit
adenine,CP00000181,LMNA,9606,associate
adenine,CP00000181,PNP,9606,associate
adenine,CP00000181,MTAP,9606,associate
adenine,CP00000181,SLC29A2,9606,associate
adenine,CP00000181,APRT,9606,associate
adenine,CP00000181,PECR,9606,associate
adenine,CP00000181,SLC29A3,9606,associate
adenine,CP00000181,CDK1,9606,inhibit
adenine,CP00000181,RAF1,9606,associate
adenine,CP00000181,MAP2K1,9606,associate
adenine,CP00000181,PRKACG,9606,associate
adenine,CP00000181,AKT1,9606,associate
adenine,CP00000181,PRKCA,9606,associate
adenine,CP00000181,ROCK1,9606,associate
adenine,CP00000181,MAPK14,9606,associate
adenine,CP00000181,Camk2g,10116,associate
adenine,CP00000181,GSK3B,9606,associate
adenine,CP00000181,MAPK8,9606,associate
adenine,CP00000181,MAPK9,9606,associate
adenine,CP00000181,Mapk10,10116,associate
adenine,CP00000181,LCK,9606,associate
adenine,CP00000181,MAPK3,9606,associate
adenine,CP00000181,MAPK1,9606,associate
adenine,CP00000181,XDH,9606,associate
adenine,CP00000181,HSP90AB1,9606,inhibit
adenine,CP00000181,MMP3,9606,associate
adenine,CP00000181,Nos2,10090,associate
adenine,CP00000181,pxo1_107,1392,associate
adenine,CP00000181,MMP1,9606,associate
adenine,CP00000181,MMP8,9606,associate
adenine,CP00000181,MMP2,9606,associate
adenine,CP00000181,ALOX5,9606,associate
adenine,CP00000181,MMP9,9606,associate
adenine,CP00000181,NFE2L2,9606,associate
adenine,CP00000181,TSG101,9606,associate
adenine,CP00000181,AKT2,9606,associate
adenine,CP00000181,MAP3K5,9606,associate
adenine,CP00000181,AURKA,9606,associate
adenine,CP00000181,AURKB,9606,associate
adenine,CP00000181,BRAF,9606,associate
adenine,CP00000181,EGFR,9606,associate
adenine,CP00000181,ERBB2,9606,associate
adenine,CP00000181,ERBB4,9606,associate
adenine,CP00000181,PTK2,9606,associate
adenine,CP00000181,FES,9606,associate
adenine,CP00000181,IGF1R,9606,associate
adenine,CP00000181,IKBKB,9606,associate
adenine,CP00000181,ITK,9606,associate
adenine,CP00000181,JAK3,9606,associate
adenine,CP00000181,MAPKAPK2,9606,associate
adenine,CP00000181,PAK2,9606,associate
adenine,CP00000181,PDK1,9606,associate
adenine,CP00000181,PIK3CA,9606,associate
adenine,CP00000181,PIK3CG,9606,associate
adenine,CP00000181,PIK3CD,9606,associate
adenine,CP00000181,PIM1,9606,associate
adenine,CP00000181,RIPK2,9606,associate
adenine,CP00000181,SGK1,9606,associate
adenine,CP00000181,SYK,9606,associate
adenine,CP00000181,TARDBP,9606,associate
adenine,CP00000181,SLCO1B1,9606,associate
adenine,CP00000181,SLCO1B3,9606,associate
adenine,CP00000181,AR,9606,associate
adenine,CP00000181,HSPB1,9606,associate
adenine,CP00000181,APEX1,9606,associate
adenine,CP00000181,NT5C2,9606,associate
adenine,CP00000181,GART,9606,associate
adenine,CP00000181,ADORA3,9606,associate
adenine,CP00000181,IDH2,9606,associate
adenine,CP00000181,IMPDH1,9606,associate
adenine,CP00000181,ALKBH3,9606,associate
adenine,CP00000181,SLC25A6,9606,associate
adenine,CP00000181,NCF2,9606,associate
adenine,CP00000181,HYOU1,9606,associate
adenine,CP00000181,SLC29A1,9606,associate
adenine,CP00000181,SRPK2,9606,associate
adenine,CP00000181,SLC35D2,9606,associate
adenine,CP00000181,RNLS,9606,associate
adenine,CP00000181,REEP5,9606,associate
adenine,CP00000181,TWIST1,9606,associate
adenine,CP00000181,LDLR,9606,associate
adenine,CP00000181,PHIP,9606,associate
adenine,CP00000181,DNAH8,9606,associate
adenine,CP00000181,PIK3C3,9606,associate
adenine,CP00000181,CDC123,9606,associate
adenine,CP00000181,NUDT10,9606,associate
