Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
apocynin,CP00002036,CBX1,9606,associate
apocynin,CP00002036,GMNN,9606,associate
apocynin,CP00002036,SOD1,9606,inhibit
apocynin,CP00002036,TNF,9606,inhibit
apocynin,CP00002036,PRKCZ,9606,associate
apocynin,CP00002036,CXCL1,9606,associate
apocynin,CP00002036,NCF1,9606,activate
apocynin,CP00002036,CASP1,9606,associate
apocynin,CP00002036,COL3A1,9606,associate
apocynin,CP00002036,LEP,9606,associate
apocynin,CP00002036,HMOX1,9606,associate
apocynin,CP00002036,RHOA,9606,associate
apocynin,CP00002036,NOS3,9606,associate
apocynin,CP00002036,MMP1,9606,associate
apocynin,CP00002036,MAPK3,9606,activate
apocynin,CP00002036,OSGIN1,9606,associate
apocynin,CP00002036,C9orf3,9606,associate
apocynin,CP00002036,DUOX1,9606,associate
apocynin,CP00002036,CYBB,9606,activate
apocynin,CP00002036,IL1B,9606,associate
apocynin,CP00002036,CLCN3,9606,associate
apocynin,CP00002036,ROCK1,9606,associate
apocynin,CP00002036,IL1B,9606,inhibit
apocynin,CP00002036,CCL5,9606,associate
apocynin,CP00002036,NOX4,9606,associate
apocynin,CP00002036,TPR,9606,associate
apocynin,CP00002036,MAP2K1,9606,associate
apocynin,CP00002036,AGT,9606,associate
apocynin,CP00002036,HMBS,9606,associate
apocynin,CP00002036,LTC4S,9606,associate
apocynin,CP00002036,KIFAP3,9606,associate
apocynin,CP00002036,NCF1,9606,associate
apocynin,CP00002036,IL6,9606,associate
apocynin,CP00002036,TBXA2R,9606,associate
apocynin,CP00002036,MMP9,9606,inhibit
apocynin,CP00002036,CASP3,9606,associate
apocynin,CP00002036,DNER,9606,associate
apocynin,CP00002036,NFKBIA,9606,activate
apocynin,CP00002036,HADHA,9606,associate
apocynin,CP00002036,PRKCI,9606,associate
apocynin,CP00002036,CHAT,9606,associate
apocynin,CP00002036,PENK,9606,associate
apocynin,CP00002036,EGFR,9606,associate
apocynin,CP00002036,ICAM1,9606,associate
apocynin,CP00002036,OLR1,9606,associate
apocynin,CP00002036,MSR1,9606,associate
apocynin,CP00002036,TNF,9606,associate
apocynin,CP00002036,VASP,9606,associate
apocynin,CP00002036,PRKCA,9606,associate
apocynin,CP00002036,FGF2,9606,associate
apocynin,CP00002036,CXCL8,9606,associate
apocynin,CP00002036,PVALB,9606,inhibit
apocynin,CP00002036,HMOX2,9606,associate
apocynin,CP00002036,NPHS1,9606,inhibit
apocynin,CP00002036,TNF,9606,activate
apocynin,CP00002036,VCAM1,9606,associate
apocynin,CP00002036,REN,9606,associate
apocynin,CP00002036,NKX2-5,9606,associate
apocynin,CP00002036,GATA4,9606,associate
apocynin,CP00002036,MAPK1,9606,associate
apocynin,CP00002036,SHC1,9606,associate
apocynin,CP00002036,LEPR,9606,inhibit
apocynin,CP00002036,KIF3B,9606,associate
apocynin,CP00002036,PRKCD,9606,associate
apocynin,CP00002036,FN1,9606,associate
apocynin,CP00002036,HTR2B,9606,associate
apocynin,CP00002036,FANCD2,9606,associate
apocynin,CP00002036,CD36,9606,activate
apocynin,CP00002036,PTGS1,9606,associate
apocynin,CP00002036,UTS2,9606,associate
apocynin,CP00002036,DECR1,9606,associate
apocynin,CP00002036,COL1A2,9606,associate
apocynin,CP00002036,RELA,9606,inhibit
apocynin,CP00002036,CDK5,9606,associate
apocynin,CP00002036,AGTR1,9606,associate
apocynin,CP00002036,FGF14,9606,associate
apocynin,CP00002036,CSF2,9606,associate
apocynin,CP00002036,KAT5,9606,associate
apocynin,CP00002036,EDNRA,9606,associate
apocynin,CP00002036,MAPK3,9606,associate
apocynin,CP00002036,PTGS2,9606,associate
apocynin,CP00002036,EDN1,9606,associate
apocynin,CP00002036,TP53,9606,associate
apocynin,CP00002036,HSPB1,9606,associate
apocynin,CP00002036,NLRP1,9606,associate
apocynin,CP00002036,HTRA2,9606,inhibit
apocynin,CP00002036,GPX4,9606,associate
apocynin,CP00002036,EDNRB,9606,associate
apocynin,CP00002036,IL26,9606,associate
apocynin,CP00002036,RAC3,9606,associate
apocynin,CP00002036,CCL2,9606,associate
apocynin,CP00002036,CYBA,9606,associate
apocynin,CP00002036,CRYAB,9606,associate
apocynin,CP00002036,SLC9A1,9606,associate
apocynin,CP00002036,DES,9606,associate
apocynin,CP00002036,MMP9,9606,associate
apocynin,CP00002036,MMP2,9606,associate
apocynin,CP00002036,NANOS3,9606,associate
apocynin,CP00002036,NFE2,9606,associate
apocynin,CP00002036,IFNB1,9606,associate
apocynin,CP00002036,SRC,9606,associate
apocynin,CP00002036,MAPK9,9606,activate
apocynin,CP00002036,LEP,9606,inhibit
apocynin,CP00002036,INS-IGF2,9606,associate
apocynin,CP00002036,GJA1,9606,inhibit
apocynin,CP00002036,BMP10,9606,associate
apocynin,CP00002036,MAPK1,9606,inhibit
apocynin,CP00002036,PRKCH,9606,associate
apocynin,CP00002036,NOX3,9606,associate
apocynin,CP00002036,RAC1,9606,associate
apocynin,CP00002036,NCKIPSD,9606,associate
apocynin,CP00002036,DVL1,9606,associate
apocynin,CP00002036,PCNA,9606,associate
apocynin,CP00002036,NCF2,9606,associate
apocynin,CP00002036,CCL7,9606,associate
apocynin,CP00002036,SLC15A1,9606,associate
apocynin,CP00002036,CD38,9606,associate
apocynin,CP00002036,MAPK1,9606,activate
apocynin,CP00002036,NEURL4,9606,associate
apocynin,CP00002036,NOS2,9606,associate
apocynin,CP00002036,RNF213,9606,associate
apocynin,CP00002036,PRKCE,9606,associate
apocynin,CP00002036,CYBB,9606,associate
apocynin,CP00002036,APOE,9606,associate
apocynin,CP00002036,MPO,9606,associate
apocynin,CP00002036,PCK2,9606,associate
apocynin,CP00002036,RYR1,9606,associate
apocynin,CP00002036,PARP1,9606,associate
