Compound name,Compound,Gene Symbol,ncbitaxid,RelationSign
protocatechuic acid,CP00000070,CA1,9606,inhibit
protocatechuic acid,CP00000070,CA2,9606,inhibit
protocatechuic acid,CP00000070,CA9,9606,inhibit
protocatechuic acid,CP00000070,CA12,9606,inhibit
protocatechuic acid,CP00000070,CA6,9606,inhibit
protocatechuic acid,CP00000070,CA14,9606,inhibit
protocatechuic acid,CP00000070,CA7,9606,inhibit
protocatechuic acid,CP00000070,CA4,9606,inhibit
protocatechuic acid,CP00000070,KDM4E,9606,associate
protocatechuic acid,CP00000070,MAPT,9606,associate
protocatechuic acid,CP00000070,L3MBTL1,9606,associate
protocatechuic acid,CP00000070,GAA,9606,associate
protocatechuic acid,CP00000070,POLB,9606,associate
protocatechuic acid,CP00000070,aroB,511145,inhibit
protocatechuic acid,CP00000070,SELE,9606,associate
protocatechuic acid,CP00000070,SELL,9606,associate
protocatechuic acid,CP00000070,SELP,9606,associate
protocatechuic acid,CP00000070,AKR1B1,9606,inhibit
protocatechuic acid,CP00000070,PfM18AAP,36329,inhibit
protocatechuic acid,CP00000070,CTSL,9606,inhibit
protocatechuic acid,CP00000070,Tyr,10090,associate
protocatechuic acid,CP00000070,l(3)87Eb,7227,associate
protocatechuic acid,CP00000070,pxo1_107,1392,associate
protocatechuic acid,CP00000070,MMP2,9606,associate
protocatechuic acid,CP00000070,MMP1,9606,associate
protocatechuic acid,CP00000070,MMP3,9606,associate
protocatechuic acid,CP00000070,MMP8,9606,associate
protocatechuic acid,CP00000070,ALOX5,9606,associate
protocatechuic acid,CP00000070,MMP9,9606,associate
protocatechuic acid,CP00000070,CBFB,9606,associate
protocatechuic acid,CP00000070,POLI,9606,associate
protocatechuic acid,CP00000070,ESR1,9606,associate
protocatechuic acid,CP00000070,GLS,9606,associate
protocatechuic acid,CP00000070,GMNN,9606,associate
protocatechuic acid,CP00000070,RAPGEF3,9606,associate
protocatechuic acid,CP00000070,CYP19A1,9606,associate
protocatechuic acid,CP00000070,PSMB5,9606,associate
protocatechuic acid,CP00000070,PANA_RS06665,706191,inhibit
protocatechuic acid,CP00000070,CYP2E1,9606,inhibit
protocatechuic acid,CP00000070,ENO1,9606,activate
protocatechuic acid,CP00000070,CCR8,9606,associate
protocatechuic acid,CP00000070,NQO1,9606,activate
protocatechuic acid,CP00000070,CYP2E1,9606,associate
protocatechuic acid,CP00000070,PTGS2,9606,associate
protocatechuic acid,CP00000070,CYP1A1,9606,associate
protocatechuic acid,CP00000070,COL2A1,9606,associate
protocatechuic acid,CP00000070,AHR,9606,associate
protocatechuic acid,CP00000070,HPCA,9606,associate
protocatechuic acid,CP00000070,NFKBIB,9606,activate
protocatechuic acid,CP00000070,CDKN1A,9606,activate
protocatechuic acid,CP00000070,EGLN1,9606,associate
protocatechuic acid,CP00000070,RELA,9606,associate
protocatechuic acid,CP00000070,COMT,9606,activate
protocatechuic acid,CP00000070,RELA,9606,activate
protocatechuic acid,CP00000070,CTAG2,9606,associate
protocatechuic acid,CP00000070,VEGFA,9606,activate
protocatechuic acid,CP00000070,IL6,9606,associate
protocatechuic acid,CP00000070,GPI,9606,associate
protocatechuic acid,CP00000070,NOS2,9606,associate
protocatechuic acid,CP00000070,NOS2,9606,activate
protocatechuic acid,CP00000070,ILF3,9606,associate
protocatechuic acid,CP00000070,GLO1,9606,inhibit
protocatechuic acid,CP00000070,CAT,9606,associate
protocatechuic acid,CP00000070,PRAC1,9606,associate
protocatechuic acid,CP00000070,BCL2,9606,inhibit
protocatechuic acid,CP00000070,PDK2,9606,associate
protocatechuic acid,CP00000070,CDH3,9606,associate
protocatechuic acid,CP00000070,DDX50,9606,associate
protocatechuic acid,CP00000070,PCMT1,9606,associate
protocatechuic acid,CP00000070,GPR162,9606,associate
protocatechuic acid,CP00000070,TNF,9606,associate
protocatechuic acid,CP00000070,HIF1A,9606,activate
protocatechuic acid,CP00000070,CASP3,9606,associate
protocatechuic acid,CP00000070,PNMA3,9606,associate
protocatechuic acid,CP00000070,MPO,9606,activate
protocatechuic acid,CP00000070,OXCT1,9606,associate
protocatechuic acid,CP00000070,Akr1b3,10090,associate
protocatechuic acid,CP00000070,KIF1BP,9606,associate
protocatechuic acid,CP00000070,RAPGEF1,9606,associate
protocatechuic acid,CP00000070,STOML1,9606,associate
protocatechuic acid,CP00000070,CYP1A2,9606,associate
protocatechuic acid,CP00000070,FARSA,9606,associate
protocatechuic acid,CP00000070,PHB,9606,associate
protocatechuic acid,CP00000070,ACER3,9606,associate
protocatechuic acid,CP00000070,PTGS2,9606,activate
protocatechuic acid,CP00000070,P4HA3,9606,associate
protocatechuic acid,CP00000070,EMC3,9606,associate
protocatechuic acid,CP00000070,FDXR,9606,associate
protocatechuic acid,CP00000070,LBR,9606,associate
protocatechuic acid,CP00000070,UROD,9606,associate
protocatechuic acid,CP00000070,SPEN,9606,associate
protocatechuic acid,CP00000070,G6PD,9606,associate
protocatechuic acid,CP00000070,HGD,9606,associate
protocatechuic acid,CP00000070,P4HA2,9606,associate
protocatechuic acid,CP00000070,ADH5,9606,associate
protocatechuic acid,CP00000070,CASS4,9606,associate
protocatechuic acid,CP00000070,DHODH,9606,associate
protocatechuic acid,CP00000070,PDC,9606,associate
